method,users,slots,handover_frequency,source_handover_frequency,destination_handover_frequency,avg_delay_ms,avg_source_gsl_delay_ms,avg_isl_delay_ms,avg_destination_gsl_delay_ms,avg_legacy_hop_isl_delay_ms,avg_legacy_hop_total_delay_ms,avg_allocated_mhz,avg_requested_mhz,last_allocated_mhz,last_requested_mhz,avg_allocated_bps,avg_requested_bps,last_allocated_bps,last_requested_bps,avg_f_weight,avg_g_weight,avg_h_weight,weight_samples
CAHS,450,400,0.06776666666666667,0.08817777777777777,0.047355555555555554,70.55032546744242,6.929278306044413,56.759604929407125,6.861442231990875,56.810706066115216,70.6014266041505,67873.74,74605.7,68602.0,71459.0,67873740000.00001,74605700000.0,68602000000.0,71459000000.0,0.6326501588710656,0.2673498411289345,0.1,89775
MGCS,450,400,0.5096833333333334,0.9720111111111112,0.047355555555555554,85.45206658988654,6.362897621582365,72.2277267363133,6.861442231990875,72.2251298390159,85.44946969258916,100453.375,327948.9575,97143.0,334149.0,100453375000.0,327948957500.0,97143000000.0,334149000000.0,0.0,0.0,0.0,0
MSTS,450,400,0.04407222222222222,0.04078888888888889,0.047355555555555554,85.35940659221504,6.2905017944002335,72.20746256582393,6.861442231990875,72.19330193844748,85.34524596483858,52708.947499999995,64951.49250000001,51624.0,58717.0,52708947499.99999,64951492500.00001,51624000000.0,58717000000.0,0.0,0.0,0.0,0
RS,450,400,0.38387777777777776,0.7204,0.047355555555555554,86.2620014880574,7.322344972171263,72.07821428389526,6.861442231990875,72.0271107450602,86.21089794922233,53135.1925,66992.75,58360.99999999999,73671.0,53135192500.0,66992750000.0,58360999999.99999,73671000000.0,0.0,0.0,0.0,0
CAHS,500,400,0.066935,0.08651,0.04736,71.45631318295541,6.9185174887634595,57.67685488655112,6.860940807640842,57.75042959505401,71.52988789145832,69853.0425,75480.4775,67599.0,80379.0,69853042500.0,75480477500.0,67599000000.0,80379000000.0,0.6163390615451075,0.28366093845489243,0.10000000000000002,99750
MGCS,500,400,0.51015,0.97294,0.04736,85.37561647598336,6.324687403717065,72.18998826462548,6.860940807640842,72.34056791910153,85.52619613045945,106871.65000000001,389828.0325,88152.0,405304.0,106871650000.00002,389828032500.0,88152000000.0,405304000000.0,0.0,0.0,0.0,0
MSTS,500,400,0.044075,0.04079,0.04736,85.65512354035094,6.284049862211198,72.51013287049891,6.860940807640842,72.76218277920628,85.90717344905832,53395.19249999999,66481.56,54370.0,63985.0,53395192499.99999,66481560000.0,54370000000.0,63985000000.0,0.0,0.0,0.0,0
RS,500,400,0.384725,0.72209,0.04736,86.47468796010176,7.321558428876679,72.29218872358426,6.860940807640842,72.19940069783782,86.38189993435533,54219.1475,67133.2525,49332.0,61051.0,54219147500.0,67133252500.0,49332000000.0,61051000000.0,0.0,0.0,0.0,0
CAHS,550,400,0.06008181818181818,0.0728090909090909,0.047354545454545455,72.56866243259074,6.839432765033667,58.868383996151515,6.8608456714055475,59.16423810607983,72.86451654251906,71556.425,74337.18000000001,73302.0,80372.0,71556425000.0,74337180000.0,73302000000.0,80372000000.0,0.4959973871269092,0.4040026128730909,0.10000000000000002,109725
MGCS,550,400,0.5097409090909091,0.9721272727272727,0.047354545454545455,85.33174114887424,6.324662993648924,72.14623248381977,6.8608456714055475,72.2801746077181,85.46568327277257,149136.25999999998,438768.1625,156051.0,450935.0,149136259999.99997,438768162500.0,156051000000.0,450935000000.0,0.0,0.0,0.0,0
MSTS,550,400,0.04405,0.04074545454545454,0.047354545454545455,86.00107224853414,6.275711928037882,72.86451464909071,6.8608456714055475,72.71757000774538,85.85412760718881,59787.715,65633.6325,58595.0,65731.0,59787715000.0,65633632500.00001,58595000000.0,65731000000.0,0.0,0.0,0.0,0
RS,550,400,0.3846181818181818,0.7218818181818182,0.047354545454545455,86.48509849263428,7.312453385265615,72.31179943596312,6.8608456714055475,72.51750644331223,86.69080549998338,59571.5025,65889.17,62306.0,69971.0,59571502500.0,65889170000.0,62306000000.0,69971000000.0,0.0,0.0,0.0,0
CAHS,600,400,0.056075,0.0648,0.04735,73.91013033783709,6.802267194679718,60.247388694382124,6.8604744487752605,60.48520859880633,74.1479502422613,70041.7625,71784.20999999999,73300.0,74069.0,70041762500.0,71784209999.99998,73300000000.0,74069000000.0,0.4067656974604918,0.4932343025395082,0.10000000000000003,119700
MGCS,600,400,0.5107916666666666,0.9742333333333333,0.04735,85.30296866143718,6.341549026744863,72.10094518591704,6.8604744487752605,72.20754825921088,85.409571734731,187126.28,477690.7975,179519.0,484801.0,187126280000.0,477690797500.0,179519000000.0,484801000000.0,0.0,0.0,0.0,0
MSTS,600,400,0.0440625,0.040775,0.04735,86.27130260429509,6.279086248849889,73.13174190666994,6.860474448775259,73.24028739816418,86.37984809578933,62805.9825,65738.4075,62951.0,63394.0,62805982500.0,65738407500.0,62951000000.0,63394000000.0,0.0,0.0,0.0,0
RS,600,400,0.3858666666666667,0.7243833333333334,0.04735,86.31277316031083,7.320776190745538,72.13152252079004,6.860474448775258,72.19525544731468,86.37650608683549,62729.345,65492.47750000001,60069.0,62806.0,62729345000.0,65492477500.00001,60069000000.0,62806000000.0,0.0,0.0,0.0,0
