figure,metric,method,users,target,result,abs_error,rel_error
fig4_B,delay,CAHS,300,73.38461538461539,71.80841045588208,-1.5762049287333042,0.021478683515233705
fig4_B,delay,CAHS,350,73.17948717948718,72.08395477490642,-1.0955324045807657,0.014970484855868908
fig4_B,delay,CAHS,400,73.6923076923077,72.33917790044818,-1.3531297918595158,0.018361886528365037
fig4_B,delay,CAHS,450,74.05128205128204,72.9588997551088,-1.0923822961732412,0.014751699982948896
fig4_B,delay,CAHS,500,73.8974358974359,73.0362451358114,-0.8611907616244991,0.011653865268339857
fig4_B,delay,CAHS,550,74.41025641025641,73.85084738231983,-0.5594090279365815,0.007517902167307609
fig4_B,delay,CAHS,600,74.1025641025641,73.65539517340842,-0.44716892915567996,0.006034459597602602
fig4_B,handover,RS,100,0.8708333333333333,0.44995,-0.42088333333333333,0.48331100478468897
fig4_B,handover,RS,150,0.875,0.4505,-0.4245,0.48514285714285715
fig4_B,handover,RS,200,0.8708333333333333,0.4493125,-0.42152083333333334,0.48404306220095694
fig4_B,handover,RS,250,0.8729166666666667,0.45056,-0.42235666666666666,0.4838453460620525
fig4_B,handover,RS,300,0.8708333333333333,0.4494,-0.4214333333333333,0.4839425837320574
fig4_B,handover,RS,350,0.875,0.45054285714285713,-0.42445714285714287,0.4850938775510204
fig4_B,handover,RS,400,0.8708333333333333,0.451,-0.41983333333333334,0.48210526315789476
fig4_B,handover,RS,450,0.8729166666666667,0.4512777777777778,-0.4216388888888889,0.4830230708035004
fig4_B,handover,RS,500,0.8729166666666667,0.450625,-0.4222916666666667,0.48377088305489263
fig4_B,handover,RS,550,0.8729166666666667,0.4510272727272727,-0.42188939393939395,0.48331004556302887
fig4_B,handover,RS,600,0.8729166666666667,0.45111666666666667,-0.4218,0.48320763723150356
fig4_B,handover,MSTS,100,0.04166666666666663,0.038525,-0.003141666666666633,0.07539999999999926
fig4_B,handover,MSTS,150,0.04166666666666663,0.038533333333333336,-0.0031333333333332936,0.07519999999999911
fig4_B,handover,MSTS,200,0.04166666666666663,0.03885,-0.002816666666666627,0.0675999999999991
fig4_B,handover,MSTS,250,0.04166666666666663,0.03856,-0.0031066666666666326,0.07455999999999925
fig4_B,handover,MSTS,300,0.04166666666666663,0.038575,-0.0030916666666666315,0.07419999999999922
fig4_B,handover,MSTS,350,0.04166666666666663,0.03867857142857143,-0.0029880952380951994,0.07171428571428486
fig4_B,handover,MSTS,400,0.04166666666666663,0.038575,-0.0030916666666666315,0.07419999999999922
fig4_B,handover,MSTS,450,0.04166666666666663,0.03858333333333333,-0.003083333333333299,0.07399999999999925
fig4_B,handover,MSTS,500,0.04166666666666663,0.038525,-0.003141666666666633,0.07539999999999926
fig4_B,handover,MSTS,550,0.04166666666666663,0.03854545454545454,-0.003121212121212087,0.07490909090909016
fig4_B,handover,MSTS,600,0.04166666666666663,0.038545833333333335,-0.003120833333333295,0.07489999999999915
fig4_B,handover,MGCS,100,0.14583333333333337,0.132325,-0.013508333333333372,0.09262857142857167
fig4_B,handover,MGCS,150,0.15000000000000002,0.16035,0.01034999999999997,0.0689999999999998
fig4_B,handover,MGCS,200,0.14583333333333337,0.1392125,-0.006620833333333381,0.045400000000000315
fig4_B,handover,MGCS,250,0.15000000000000002,0.1473,-0.0027000000000000357,0.018000000000000235
fig4_B,handover,MGCS,300,0.14583333333333337,0.15674166666666667,0.010908333333333298,0.07479999999999974
fig4_B,handover,MGCS,350,0.14583333333333337,0.15924285714285713,0.01340952380952376,0.0919510204081629
fig4_B,handover,MGCS,400,0.14583333333333337,0.126025,-0.019808333333333372,0.13582857142857166
fig4_B,handover,MGCS,450,0.14583333333333337,0.12966666666666668,-0.01616666666666669,0.11085714285714299
fig4_B,handover,MGCS,500,0.14583333333333337,0.131255,-0.01457833333333336,0.09996571428571444
fig4_B,handover,MGCS,550,0.14583333333333337,0.13302272727272726,-0.012810606060606106,0.08784415584415613
fig4_B,handover,MGCS,600,0.14583333333333337,0.13470416666666668,-0.01112916666666669,0.07631428571428585
fig4_B,handover,CAHS,100,0.23333333333333328,0.2063,-0.02703333333333327,0.11585714285714262
fig4_B,handover,CAHS,150,0.1875,0.21318333333333334,0.025683333333333336,0.13697777777777778
fig4_B,handover,CAHS,200,0.16249999999999998,0.1857375,0.023237500000000022,0.14300000000000015
fig4_B,handover,CAHS,250,0.1416666666666666,0.15158,0.009913333333333385,0.0699764705882357
fig4_B,handover,CAHS,300,0.12083333333333324,0.12879166666666667,0.007958333333333428,0.06586206896551808
fig4_B,handover,CAHS,350,0.10833333333333328,0.10971428571428571,0.0013809523809524271,0.01274725274725318
fig4_B,handover,CAHS,400,0.09583333333333321,0.10364375,0.007810416666666792,0.0815000000000014
fig4_B,handover,CAHS,450,0.09166666666666656,0.09563888888888888,0.003972222222222321,0.043333333333334466
fig4_B,handover,CAHS,500,0.08749999999999991,0.090965,0.003465000000000093,0.03960000000000111
fig4_B,handover,CAHS,550,0.08333333333333326,0.08704090909090909,0.003707575757575826,0.044490909090909955
fig4_B,handover,CAHS,600,0.08333333333333326,0.0843875,0.0010541666666667449,0.012650000000000949
